LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2024-01-18 17:35:18,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:18,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:18,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:18,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:18,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:18,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:18,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:18,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-65, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:18,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:18,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:18,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:18,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:18,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:18,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:18,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:18,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:18,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:18,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:18,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:18,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:18,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:18,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:18,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:18,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:18,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:18,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:18,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:18,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-58,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:18,1900-01-00 00:00:00,,40:2C:F4:32:D0:DF,-87,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:18,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-57,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:18,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-57,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:18,1900-01-00 00:00:00,,40:2C:F4:32:D0:DF,-91,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:18,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-58,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:18,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-64, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:18,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-58,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:18,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-65, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:18,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-63, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:18,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-65, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:18,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-63, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:18,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-64, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:18,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-64, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:18,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-56,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:18,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-65, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:18,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-65, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:19,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-63, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-58,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:19,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:19,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:19,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:19,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:19,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-58,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-58,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-58,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-57,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-57,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-57,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-55,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-55,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-55,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-57,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-66, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-57,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-57,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-57,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-57,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-57,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-57,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-56,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-56,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-56,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-56,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-56,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-55,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-55,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-55,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-55,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-55,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-55,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-55,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-55,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-55,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-55,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-55,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-55,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-55,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-57,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-57,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-57,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-57,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-57,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-57,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-56,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-56,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-56,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-56,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-56,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-56,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-56,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-56,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-56,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-56,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-56,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-56,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-57,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-57,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-57,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-57,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-57,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-57,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-57,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-57,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-57,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-57,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-57,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-57,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-57,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-56,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-56,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-56,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-56,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-56,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-56,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-56,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-56,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-56,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-56,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-56,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-56,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-56,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-56,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-56,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-56,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-54,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-54,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-54,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-54,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-54,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-54,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-54,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-54,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-54,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-54,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-54,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-54,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-54,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-54,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-54,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-54,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-54,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-54,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-57,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-57,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-67, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:19,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-66, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:19,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-68, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:19,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-68, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:19,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-67, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:19,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-68, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:19,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-68, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:19,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-63, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:19,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-70, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:19,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-70, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:19,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-70, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:19,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-70, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:19,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-70, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:19,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-70, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:19,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-70, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:19,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-70, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:19,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-70, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:19,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-70, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:19,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-70, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:19,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-70, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:19,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-70, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:19,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-70, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:19,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-70, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:19,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-70, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:19,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-70, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:19,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-70, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:19,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-70, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-58,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-57,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-58,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-58,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-58,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-57,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-57,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-57,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-57,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-57,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-57,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-57,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-57,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,,02:55:75:58:ED:F2,-58,,0.000000,0.000000,0.000,0.000,Client
2024-01-18 17:35:19,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-65, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-18 17:35:19,1900-01-00 00:00:00,BULLION,3C:15:FB:E4:14:DC,-70, WPA2 ,0.000000,0.000000,0.000,0.000,AP
